URL	Label	Label	Label	Label	Label	A=MBFCLink	Score
www.thebureauinvestigates.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/the-bureau-of-investigative-journalism/	0.54
www.nola.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/the-times-picayune/	0.75
news.trust.org/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/thomson-reuters-foundation/	0.4
www.populationconnection.org/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/population-connection/	0.46
www.cpj.org/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/committee-to-protect-journalists/	0.73
www.downsizinggovernment.org/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/downsizing-the-federal-government/	0.59
thediplomat.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/the-diplomat-magazine/	0.71
www.lgbtqnation.com/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/lgbtq-nation/	0.9
www.democratandchronicle.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/democrat-and-chronicle/	0.55
crfb.org/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/committee-for-a-responsible-federal-budget/	0.3
deadstate.org/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/dead-state/	0.27
rudaw.net/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/rudaw/	0.36
www.economicpolicyjournal.com/*	_cse_cwfn9qhuqkk	right-leaning	right-only			https://mediabiasfactcheck.com/economicpolicyjournal-com/	0.72
www.ozy.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/ozy-media/	0.78
www.metabunk.org/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/metabunk/	0.34
www.defenseone.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/defense-one/	0.64
washingtonjournal.com/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/washington-journal-not-c-span/	0.28
www.commonwealthfund.org/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/commonwealth-fund/	0.46
newsrescue.com/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/news-rescue/	0.27
www.learnliberty.org/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/learn-liberty/	0.53
